"ObjectName","RA_deg","Dec_deg","groupNumber","ANG_SIZE_MAJ","ANG_SIZE_MIN"
"HCG75c",230.412,21.177,75,0.35,0.23
"HCG75d",230.405,21.1815,75,0.33,0.18
"HCG75e",230.392,21.179,75,0.4,0.18
"HCG75f",230.374,21.1855,75,0.21,0.17
"HCG75h",230.382,21.1696,75,0.22,0.13
"HCG76a",232.948,7.30814,76,0.7,0.2
"HCG76b",232.918,7.339,76,0.68,0.55
"HCG76c",232.903,7.31242,76,0.71,0.67
"HCG76d",232.926,7.28739,76,0.58,0.49
"HCG76e",232.959,7.31161,76,0.27,0.25
"HCG76f",232.915,7.33594,76,0.47,0.32
"HCG76g",232.9,7.34975,76,1.2,0.21
"HCG79a",239.796,20.7549,79,0.5,0.4
"HCG79b",239.802,20.7634,79,0.4,0.2
"HCG79c",239.795,20.7622,79,0.4,0.2
"HCG79d",239.799,20.7476,79,0.9,0.2
"HCG79f",239.81,20.7659,79,0.8,0.4
"HCG80a",239.829,65.2326,80,0.85,0.18
"HCG80b",239.84,65.223,80,0.34,0.29
"HCG80c",239.779,65.2337,80,0.33,0.27
"HCG80d",239.8,65.222,80,0.45,0.18
"HCG81a",244.557,12.8029,81,0.4,0.15
"HCG81b",244.559,12.7887,81,0.39,0.18
"HCG81c",244.562,12.7933,81,0.4,0.3
"HCG81d",244.561,12.7956,81,0.26,0.23
"HCG82a",247.093,32.8493,82,0.9,0.7
"HCG82b",247.116,32.8464,82,0.81,0.57
"HCG82c",247.086,32.8106,82,0.84,0.32
"HCG82d",247.07,32.8133,82,0.49,0.19
"HCG83a",248.901,6.26536,83,0.26,0.26
"HCG83b",248.918,6.26231,83,0.3,0.23
"HCG83c",248.93,6.27903,83,0.26,0.14
"HCG83d",248.921,6.25903,83,0.12,0.1
"HCG84a",251.095,77.8388,84,0.59,0.49
"HCG84b",251.056,77.8586,84,0.48,0.21
"HCG84c",251.125,77.8303,84,0.5,0.25
"HCG84d",251.01,77.8565,84,0.27,0.15
"HCG84e",251.112,77.8381,84,0.15,0.15
"HCG85a",282.577,73.3514,85,0.53,0.49
"HCG85b",282.61,73.3452,85,0.44,0.41
"HCG85c",282.624,73.3576,85,0.3,0.14
"HCG85d",282.65,73.3492,85,0.22,0.21
"HCG86a",298.037,-30.8258,86,1.2,0.7
"HCG86b",297.996,-30.8162,86,0.74,0.55
"HCG86c",297.989,-30.8569,86,0.57,0.44
"HCG86d",297.966,-30.8084,86,0.62,0.32
"HCG87a",312.062,-19.8494,87,1.6,0.3
"HCG87b",312.046,-19.8564,87,0.7,0.6
"HCG87c",312.05,-19.8322,87,0.7,0.2
"HCG87d",312.053,-19.8461,87,0.26,0.19
"HCG88a",313.148,-5.71114,88,1.77,0.65
"HCG88b",313.124,-5.74611,88,1.22,0.9
"HCG88c",313.108,-5.77231,88,0.98,0.84
