      Input Object Name       	     RA     	    Dec     	  cz  	 Redshift 	 Redshift  	 z  	Basic-Data	Basic-Data
                              	  J2000.0   	  J2000.0   	 km/s 	          	Uncertainty	Qual	Major Diam	Minor Diam
                              	            	            	      	          	           	    	 (arcmin) 	 (arcmin)  
HCG 43e                       	10h11m14.31s	-00d03m04.9s	  9636	  0.032142	   0.000227	   :	      0.27	      0.25
HCG 44a                       	10h18m05.63s	+21d49m56.3s	  1271	  0.004240	   0.000047	    	       4.4	       1.5
HCG 44b                       	10h18m24.90s	+21d53m38.3s	  1381	  0.004607	   0.000017	    	       3.0	       2.7
HCG 44c                       	10h17m38.57s	+21d41m17.7s	  1217	  0.004060	   0.000005	    	      2.16	      1.10
HCG 44d                       	10h17m47.86s	+21d52m24.0s	  1581	  0.005274	   0.000010	    	       3.0	       1.3
HCG 45a                       	10h19m13.76s	+59d07m51.9s	 21811	  0.072754	   0.000113	    	      1.21	      0.39
HCG 45b                       	10h19m05.32s	+59d06m19.9s	 22195	  0.074035	   0.000097	    	      0.55	      0.31
HCG 45c                       	10h19m07.77s	+59d05m04.3s	 21781	  0.072653	   0.000162	    	      0.16	      0.10
HCG 45d                       	10h19m16.20s	+59d08m15.2s	 20735	  0.069165	   0.000143	    	      0.28	      0.17
HCG 46a                       	10h22m07.11s	+17d50m17.2s	  8201	  0.027356	   0.000117	    	      0.36	      0.27
HCG 46b                       	10h22m12.87s	+17d51m13.6s	  8571	  0.028590	   0.000120	    	      0.32	      0.26
HCG 46c                       	10h22m12.60s	+17d51m34.2s	  7906	  0.026372	   0.000140	    	      0.26	      0.23
HCG 46d                       	10h22m17.20s	+17d52m54.7s	  7703	  0.025694	   0.000110	    	      0.42	      0.25
HCG 47a                       	10h25m46.26s	+13d43m00.7s	  9692	  0.032328	   0.000065	    	      1.12	      0.59
HCG 47b                       	10h25m48.60s	+13d43m40.6s	  9487	  0.031645	   0.000107	    	      0.61	      0.54
HCG 47c                       	10h25m49.00s	+13d45m11.4s	  9553	  0.031865	   0.000103	    	      0.40	      0.33
HCG 47d                       	10h25m47.75s	+13d44m56.9s	  9489	  0.031652	   0.000156	    	      0.54	      0.45
HCG 49a                       	10h56m41.67s	+67d11m05.5s	  9937	  0.033146	   0.000057	    	      0.48	      0.44
HCG 49b                       	10h56m39.17s	+67d10m49.0s	  9931	  0.033126	   0.000031	    	      0.46	      0.21
HCG 49c                       	10h56m36.69s	+67d10m52.4s	  9926	  0.033110	   0.000200	    	      0.34	      0.26
HCG 49d                       	10h56m33.65s	+67d10m40.8s	 10010	  0.033390	   0.000240	    	      0.34	      0.22
HCG 50a                       	11h17m06.40s	+54d55m01.7s	>30000	  0.139663	   0.000394	    	      0.20	      0.19
HCG 50b                       	11h17m08.31s	+54d55m02.8s	>30000	  0.137328	   0.000370	    	      0.27	      0.15
HCG 50c                       	11h17m04.05s	+54d55m15.4s	>30000	  0.137915	   0.000141	    	      0.19	      0.17
HCG 50d                       	11h17m06.54s	+54d55m25.2s	>30000	  0.141918	   0.000207	    	      0.24	      0.14
HCG 50e                       	11h17m08.70s	+54d55m14.0s	>30000	  0.138929	   0.000207	    	      0.14	      0.10
HCG 51a                       	11h22m26.32s	+24d17m56.7s	  7626	  0.025438	   0.000083	    	      1.33	      1.23
HCG 51b                       	11h22m14.22s	+24d18m00.5s	  8219	  0.027416	   0.000157	    	       0.8	       0.6
HCG 51c                       	11h22m30.07s	+24d16m45.4s	  8902	  0.029694	   0.000067	    	       0.9	       0.6
HCG 51d                       	11h22m30.54s	+24d17m59.7s	  7529	  0.025114	   0.000107	    	       0.3	       0.3
HCG 51e                       	11h22m13.28s	+24d19m01.8s	  7700	  0.025684	   0.000077	    	       0.3	       0.3
HCG 51f                       	11h22m26.38s	+24d17m43.6s	  7532	  0.025124	   0.000100	    	      0.57	      0.28
HCG 51g                       	11h22m28.14s	+24d17m43.5s	  7532	  0.025124	   0.000137	    	      0.23	      0.19
HCG 53a                       	11h28m50.38s	+20d47m42.1s	  6261	  0.020884	   0.000103	    	      2.28	      0.71
