#Type ObjectName       	        RA     	        Dec     	 limit_cz   cz    Redshift    Redshift_uncertainty  zQual    MajorDiam	 MinorDiam
HCG26e                       	03h21m51.13s	-13d39m48.0s NULL	  9623	  0.032099	   0.000167	 NULL   	      0.35	      0.12
HCG26f                       	03h21m57.55s	-13d39m46.5s NULL	  9626	  0.032109	   0.000153	 NULL   	      0.18	      0.12
HCG26g                       	03h21m55.23s	-13d38m54.1s NULL	  9293	  0.030998	   0.000207	 NULL   	      0.20	      0.17
HCG30a                       	04h36m18.63s	-02d49m53.0s NULL	  4697	  0.015668	   0.000067	 NULL   	       1.2	       0.8
HCG30b                       	04h36m30.26s	-02d51m59.2s NULL	  4625	  0.015427	   0.000080	 NULL   	       1.1	       0.9
HCG30c                       	04h36m23.37s	-02d47m59.9s NULL	  4508	  0.015037	   0.000127	   :	          0.58	      0.42
HCG30d                       	04h36m36.59s	-02d50m35.2s NULL	  4794	  0.015991	   0.000150	 NULL   	      0.51	      0.34
HCG31a                       	05h01m38.67s	-04d15m33.6s NULL	  4074	  0.013589	   0.000003	 NULL   	      1.08	      0.66
HCG31b                       	05h01m36.17s	-04d15m43.3s NULL	  4136	  0.013797	   0.000007	 NULL   	      0.87	      0.46
HCG31c                       	05h01m37.76s	-04d15m28.4s NULL	  4019	  0.013406	   0.000001	 NULL   	      0.61	      0.23
HCG31f                       	05h01m40.02s	-04d16m22.4s NULL	  3968	  0.013236	       NULL  NULL   	      NULL     	  NULL
HCG31g                       	05h01m44.01s	-04d17m19.5s NULL	  3991	  0.013313	   0.000127	 NULL   	       0.6	       0.3
HCG31q                       	05h01m38.34s	-04d13m20.8s NULL	  4090	  0.013643	       NULL  NULL   	      NULL    	  NULL
LEDA3080767                     05h02m05.57s	-04d30m01.1s NULL	  3960	  0.013209	   0.000150	 NULL   	       0.9	       0.6
HCG32a                       	05h01m45.22s	-15d26m55.5s NULL	 12547	  0.041852	   0.000127	 NULL   	      0.63	      0.51
HCG32b                       	05h01m40.10s	-15d23m54.4s NULL	 12125	  0.040445	   0.000190	 NULL   	      0.54	      0.22
HCG32c                       	05h01m48.62s	-15d25m50.4s NULL	 12039	  0.040158	   0.000150	 NULL   	      0.46	      0.29
HCG32d                       	05h01m45.37s	-15d25m50.4s NULL	 12263	  0.040905	   0.000150	 NULL   	      0.46	      0.24
HCG33a                       	05h10m47.62s	+18d01m10.8s NULL	  7464	  0.024897	   0.000070	 NULL   	      0.37	      0.34
HCG33b                       	05h10m47.14s	+18d01m49.0s NULL	  7858	  0.026211	   0.000050	 NULL   	      0.53	      0.33
HCG33c                       	05h10m44.70s	+18d01m12.0s NULL	  7823	  0.026095	   0.000157	   :	           0.78	      0.22
