#ObjectName,RA,Dec,RA_deg,Dec_deg,l_cz,cz,z,z_uncertainty,z_Qual,ANG_SIZE_MAJ,ANG_SIZE_MIN
HCG40a,09:38:53.55,-04:50:57.4,144.723125,-4.849277777777778,,6628,0.022109,9.0E-5,,1.3,1.0
HCG40b,09:38:54.96,-04:51:57.7,144.729,-4.866027777777778,,6842,0.022822,9.0E-5,,1.1,0.7
HCG40c,09:38:53.61,-04:51:36.6,144.723375,-4.860166666666666,,6406,0.021369,2.0E-5,,1.1,0.3
HCG40d,09:38:55.85,-04:50:13.5,144.73270833333333,-4.837083333333333,,6492,0.021655,7.0E-5,,0.9,0.4
HCG40e,09:38:55.44,-04:51:30.1,144.73099999999997,-4.858361111111111,,6633,0.022125,7.7E-5,,0.7,0.3
HCG42a,10:00:14.29,-19:38:13.1,150.05954166666666,-19.636972222222226,,3964,0.013222,3.3E-5,,3.0,1.9
HCG42b,10:00:33.11,-19:39:43.1,150.13795833333333,-19.661972222222225,,4228,0.014103,6.0E-5,,1.0,0.8
HCG42c,10:00:10.29,-19:37:18.5,150.04287499999998,-19.621805555555557,,4005,0.013359,1.03E-4,,0.4,0.4
HCG42d,10:00:12.98,-19:40:22.9,150.05408333333335,-19.67302777777778,,4042,0.013483,1.0E-4,,0.44,0.36
HCG43a,10:11:19.89,-00:01:22.7,152.832875,-0.022972222222222224,,10163,0.0339,1.27E-4,,0.7,0.27
HCG43b,10:11:07.52,-00:02:31.9,152.78133333333335,-0.042194444444444444,,10087,0.033647,1.17E-4,,1.01,0.18
HCG43c,10:11:12.66,-00:04:03.1,152.80275,-0.0675277777777778,,9916,0.033076,1.1E-4,,0.5,0.28
HCG43d,10:11:13.00,-00:05:13.6,152.80416666666665,-0.08711111111111111,,9630,0.032122,1.23E-4,,0.3,0.27
HCG43e,10:11:14.31,-00:03:04.9,152.809625,-0.05136111111111111,,9636,0.032142,2.27E-4,:,0.27,0.25
HCG44a,10:18:05.63,+21:49:56.3,154.52345833333334,21.832305555555557,,1271,0.00424,4.7E-5,,4.4,1.5
HCG44b,10:18:24.90,+21:53:38.3,154.60375,21.89397222222222,,1381,0.004607,1.7E-5,,3.0,2.7
HCG44c,10:17:38.57,+21:41:17.7,154.41070833333333,21.68825,,1217,0.00406,5.0E-6,,2.16,1.1
HCG44d,10:17:47.86,+21:52:24.0,154.44941666666668,21.87333333333334,,1581,0.005274,1.0E-5,,3.0,1.3
HCG45a,10:19:13.76,+59:07:51.9,154.80733333333333,59.13108333333333,,21811,0.072754,1.13E-4,,1.21,0.39
HCG45b,10:19:05.32,+59:06:19.9,154.77216666666666,59.10552777777777,,22195,0.074035,9.7E-5,,0.55,0.31
HCG45c,10:19:07.77,+59:05:04.3,154.78237499999997,59.08452777777778,,21781,0.072653,1.62E-4,,0.16,0.1
HCG45d,10:19:16.20,+59:08:15.2,154.8175,59.13755555555555,,20735,0.069165,1.43E-4,,0.28,0.17
HCG46a,10:22:07.11,+17:50:17.2,155.529625,17.83811111111111,,8201,0.027356,1.17E-4,,0.36,0.27
HCG46b,10:22:12.87,+17:51:13.6,155.553625,17.85377777777778,,8571,0.02859,1.2E-4,,0.32,0.26
HCG46c,10:22:12.60,+17:51:34.2,155.55249999999998,17.8595,,7906,0.026372,1.4E-4,,0.26,0.23
HCG46d,10:22:17.20,+17:52:54.7,155.57166666666663,17.88186111111111,,7703,0.025694,1.1E-4,,0.42,0.25
HCG47a,10:25:46.26,+13:43:00.7,156.44275000000002,13.716861111111108,,9692,0.032328,6.5E-5,,1.12,0.59
HCG47b,10:25:48.60,+13:43:40.6,156.45250000000001,13.727944444444445,,9487,0.031645,1.07E-4,,0.61,0.54
HCG47c,10:25:49.00,+13:45:11.4,156.45416666666668,13.753166666666667,,9553,0.031865,1.03E-4,,0.4,0.33
HCG47d,10:25:47.75,+13:44:56.9,156.44895833333334,13.74913888888889,,9489,0.031652,1.56E-4,,0.54,0.45
HCG49a,10:56:41.67,+67:11:05.5,164.17362500000004,67.1848611111111,,9937,0.033146,5.7E-5,,0.48,0.44
HCG49b,10:56:39.17,+67:10:49.0,164.16320833333336,67.18027777777777,,9931,0.033126,3.1E-5,,0.46,0.21
HCG49c,10:56:36.69,+67:10:52.4,164.15287499999997,67.18122222222222,,9926,0.03311,2.0E-4,,0.34,0.26
HCG49d,10:56:33.65,+67:10:40.8,164.14020833333336,67.178,,10010,0.03339,2.4E-4,,0.34,0.22
HCG50a,11:17:06.40,+54:55:01.7,169.27666666666664,54.91713888888889,>,30000,0.139663,3.94E-4,,0.2,0.19
