#ObjectName,RA,Dec,limit_cz,cz,Redshift,Redshift_uncertainty,zQual,MajorDiam,MinorDiam
HCG32d,05:01:45.37,-15:25:50.4,,12263,0.040905,0.000150,,0.46,0.24
HCG33a,05:10:47.62,+18:01:10.8,,7464,0.024897,0.000070,,0.37,0.34
HCG33b,05:10:47.14,+18:01:49.0,,7858,0.026211,0.000050,,0.53,0.33
HCG33c,05:10:44.70,+18:01:12.0,,7823,0.026095,0.000157,:,0.78,0.22
HCG33d,05:10:53.15,+18:02:01.0,,7767,0.025908,0.000123,,0.24,0.24
HCG34a,05:21:45.76,+06:41:19.9,,8994,0.030000,0.000100,,1.6,0.4
HCG34b,05:21:49.79,+06:40:37.3,,9620,0.032089,0.000133,,0.28,0.12
HCG34c,05:21:48.88,+06:40:55.4,,9392,0.031328,0.000133,,0.37,0.19
HCG34d,05:21:47.69,+06:41:02.0,,8817,0.029410,0.000220,:,0.15,0.10
HCG35a,08:45:21.25,+44:31:14.1,,15919,0.053100,0.000127,,0.17,0.13
HCG35b,08:45:20.59,+44:30:32.2,,16338,0.054498,0.000107,,0.53,0.46
HCG35c,08:45:18.42,+44:31:39.6,,16249,0.054200,0.000834,,0.35,0.30
HCG35d,08:45:20.71,+44:32:23.1,,15798,0.052696,0.000133,,0.51,0.19
HCG35e,08:45:20.75,+44:30:12.0,,16711,0.055743,0.000178,,0.24,0.14
HCG35f,08:45:20.87,+44:31:59.7,,16330,0.054471,0.000207,,0.14,0.12
HCG37a,09:13:39.46,+29:59:34.7,,6745,0.022499,0.000067,,2.04,0.98
HCG37b,09:13:33.15,+30:00:00.5,,6758,0.022542,0.000077,,1.88,0.28
HCG37c,09:13:37.35,+29:59:58.4,,7356,0.024537,0.000123,,0.3,0.2
HCG37d,09:13:33.80,+30:00:56.8,,6131,0.020451,0.000057,,0.40,0.32
HCG37e,09:13:34.02,+30:02:23.4,,6469,0.021578,0.000060,,0.36,0.35
HCG39a,09:29:27.72,-01:20:44.8,,21119,0.070445,0.000173,,0.35,0.27
HCG39b,09:29:28.48,-01:20:57.9,,21176,0.070636,0.000203,:,0.26,0.19
HCG39c,09:29:29.38,-01:21:09.1,,20667,0.068938,0.000117,,0.26,0.18
HCG39d,09:29:27.13,-01:20:22.3,,21048,0.070209,0.000123,,0.23,0.16
HCG40a,09:38:53.55,-04:50:57.4,,6628,0.022109,0.000090,,1.3,1.0
HCG40b,09:38:54.96,-04:51:57.7,,6842,0.022822,0.000090,,1.1,0.7
HCG40c,09:38:53.61,-04:51:36.6,,6406,0.021369,0.000020,,1.1,0.3
HCG40d,09:38:55.85,-04:50:13.5,,6492,0.021655,0.000070,,0.9,0.4
HCG40e,09:38:55.44,-04:51:30.1,,6633,0.022125,0.000077,,0.7,0.3
HCG42a,10:00:14.29,-19:38:13.1,,3964,0.013222,0.000033,,3.0,1.9
HCG42b,10:00:33.11,-19:39:43.1,,4228,0.014103,0.000060,,1.0,0.8
HCG42c,10:00:10.29,-19:37:18.5,,4005,0.013359,0.000103,,0.4,0.4
HCG42d,10:00:12.98,-19:40:22.9,,4042,0.013483,0.000100,,0.44,0.36
HCG43a,10:11:19.89,-00:01:22.7,,10163,0.033900,0.000127,,0.70,0.27
HCG43b,10:11:07.52,-00:02:31.9,,10087,0.033647,0.000117,,1.01,0.18
HCG43c,10:11:12.66,-00:04:03.1,,9916,0.033076,0.000110,,0.50,0.28
HCG43d,10:11:13.00,-00:05:13.6,,9630,0.032122,0.000123,,0.30,0.27
HCG43e,10:11:14.31,-00:03:04.9,,9636,0.032142,0.000227,:,0.27,0.25
HCG44a,10:18:05.63,+21:49:56.3,,1271,0.004240,0.000047,,4.4,1.5
HCG44b,10:18:24.90,+21:53:38.3,,1381,0.004607,0.000017,,3.0,2.7
HCG44c,10:17:38.57,+21:41:17.7,,1217,0.004060,0.000005,,2.16,1.10
HCG44d,10:17:47.86,+21:52:24.0,,1581,0.005274,0.000010,,3.0,1.3
HCG45a,10:19:13.76,+59:07:51.9,,21811,0.072754,0.000113,,1.21,0.39
HCG45b,10:19:05.32,+59:06:19.9,,22195,0.074035,0.000097,,0.55,0.31
HCG45c,10:19:07.77,+59:05:04.3,,21781,0.072653,0.000162,,0.16,0.10
HCG45d,10:19:16.20,+59:08:15.2,,20735,0.069165,0.000143,,0.28,0.17
HCG46a,10:22:07.11,+17:50:17.2,,8201,0.027356,0.000117,,0.36,0.27
HCG46b,10:22:12.87,+17:51:13.6,,8571,0.028590,0.000120,,0.32,0.26
HCG46c,10:22:12.60,+17:51:34.2,,7906,0.026372,0.000140,,0.26,0.23
HCG46d,10:22:17.20,+17:52:54.7,,7703,0.025694,0.000110,,0.42,0.25
HCG47a,10:25:46.26,+13:43:00.7,,9692,0.032328,0.000065,,1.12,0.59
HCG47b,10:25:48.60,+13:43:40.6,,9487,0.031645,0.000107,,0.61,0.54
HCG47c,10:25:49.00,+13:45:11.4,,9553,0.031865,0.000103,,0.40,0.33
HCG47d,10:25:47.75,+13:44:56.9,,9489,0.031652,0.000156,,0.54,0.45
HCG49a,10:56:41.67,+67:11:05.5,,9937,0.033146,0.000057,,0.48,0.44
HCG49b,10:56:39.17,+67:10:49.0,,9931,0.033126,0.000031,,0.46,0.21
HCG49c,10:56:36.69,+67:10:52.4,,9926,0.033110,0.000200,,0.34,0.26
HCG49d,10:56:33.65,+67:10:40.8,,10010,0.033390,0.000240,,0.34,0.22
HCG50a,11:17:06.40,+54:55:01.7,>,30000,0.139663,0.000394,,0.20,0.19
HCG50b,11:17:08.31,+54:55:02.8,>,30000,0.137328,0.000370,,0.27,0.15
HCG50c,11:17:04.05,+54:55:15.4,>,30000,0.137915,0.000141,,0.19,0.17
HCG50d,11:17:06.54,+54:55:25.2,>,30000,0.141918,0.000207,,0.24,0.14
HCG50e,11:17:08.70,+54:55:14.0,>,30000,0.138929,0.000207,,0.14,0.10
HCG51a,11:22:26.32,+24:17:56.7,,7626,0.025438,0.000083,,1.33,1.23
HCG51b,11:22:14.22,+24:18:00.5,,8219,0.027416,0.000157,,0.8,0.6
HCG51c,11:22:30.07,+24:16:45.4,,8902,0.029694,0.000067,,0.9,0.6
HCG51d,11:22:30.54,+24:17:59.7,,7529,0.025114,0.000107,,0.3,0.3
HCG51e,11:22:13.28,+24:19:01.8,,7700,0.025684,0.000077,,0.3,0.3
HCG51f,11:22:26.38,+24:17:43.6,,7532,0.025124,0.000100,,0.57,0.28
HCG51g,11:22:28.14,+24:17:43.5,,7532,0.025124,0.000137,,0.23,0.19
HCG53a,11:28:50.38,+20:47:42.1,,6261,0.020884,0.000103,,2.28,0.71
HCG53b,11:28:59.87,+20:44:20.9,,6335,0.021131,0.000083,,0.82,0.48
HCG53c,11:28:58.51,+20:44:58.8,,6249,0.020844,0.000057,,0.7,0.5
HCG53d,11:29:14.60,+20:46:23.3,,6280,0.020948,,,0.49,0.27
HCG55a,11:32:06.96,+70:48:55.7,,16070,0.053604,0.000200,,0.44,0.43
HCG55b,11:32:05.64,+70:48:23.6,,15690,0.052336,0.000334,,0.26,0.23
HCG55c,11:32:05.69,+70:48:38.7,,15480,0.051636,0.000334,,0.57,0.38
HCG55d,11:32:06.79,+70:49:16.4,,16070,0.053604,0.000334,,0.27,0.22
HCG56a,11:32:46.70,+52:56:27.2,,8205,0.027370,0.000108,,1.15,0.19
HCG56b,11:32:40.25,+52:57:01.4,,7919,0.026415,0.000127,,0.65,0.36
HCG56c,11:32:36.73,+52:56:51.7,,8110,0.027052,0.000093,,0.74,0.56
HCG56d,11:32:35.33,+52:56:50.1,,8346,0.027839,0.000187,,0.42,0.26
HCG56e,11:32:32.77,+52:56:21.4,,7988,0.026645,0.000099,,0.44,0.31
HCG57a,11:37:53.90,+21:58:53.0,,8727,0.029110,0.000103,,1.7,0.5
HCG57b,11:37:43.62,+22:00:35.4,,9022,0.030094,0.000067,,1.1,0.5
HCG57c,11:37:51.64,+21:58:27.3,,9081,0.030291,0.000120,,0.8,0.7
HCG57d,11:37:54.92,+21:59:07.8,,8977,0.029944,0.000137,,0.4,0.3
HCG57e,11:37:49.06,+22:01:34.1,,8816,0.029407,0.000063,,0.7,0.4
HCG57f,11:37:53.86,+21:56:11.3,,9394,0.031335,0.000130,,0.69,0.40
HCG57g,11:37:44.43,+22:01:16.6,,9463,0.031565,0.000077,,0.4,0.2
HCG57h,11:37:50.50,+22:00:45.2,,9240,0.030821,0.000350,,0.33,0.28
HCG58a,11:42:11.11,+10:16:40.0,,6267,0.020904,0.000020,,1.4,0.8
HCG58b,11:42:23.73,+10:15:50.9,,6503,0.021692,0.000057,,1.68,0.96
HCG58c,11:41:52.95,+10:18:15.8,,6103,0.020357,0.000063,,1.09,0.84
HCG58d,11:42:05.86,+10:21:04.1,,6274,0.020928,0.000037,,0.91,0.73
HCG58e,11:42:04.91,+10:23:03.3,,6102,0.020355,0.000110,,0.65,0.50
HCG59a,11:48:27.52,+12:43:38.6,,4109,0.013706,0.000103,,0.59,0.54
HCG59b,11:48:20.12,+12:42:59.7,,4004,0.013356,0.000087,,0.5,0.5
HCG59c,11:48:32.45,+12:42:19.1,,4394,0.014656,0.000086,,0.90,0.29
HCG59d,11:48:30.66,+12:43:47.3,,3635,0.012125,0.000116,,0.69,0.43
HCG60a,12:03:07.12,+51:40:30.6,,19007,0.063401,0.000153,,0.58,0.45
HCG60b,12:02:56.53,+51:41:42.0,,18396,0.061363,0.000177,,0.38,0.21
HCG60c,12:03:06.93,+51:41:07.6,,19277,0.064301,0.000600,,0.37,0.26
HCG60d,12:03:09.62,+51:40:41.4,,18223,0.060785,0.000157,,0.34,0.28
HCG62a,12:53:05.81,-09:12:13.8,,4259,0.014206,0.000033,,0.7,0.5
HCG62b,12:53:04.46,-09:11:59.7,,3561,0.011878,0.000060,,2.6,2.0
HCG62c,12:53:09.81,-09:11:52.1,,4432,0.014784,0.000057,,0.4,0.3
HCG62d,12:53:06.63,-09:15:27.5,,4174,0.013923,0.000110,,0.66,0.56
HCG65a,13:29:50.93,-29:30:52.7,,13735,0.045815,0.000010,,1.4,0.8
HCG65b,13:29:54.80,-29:29:48.9,,14662,0.048907,0.000150,,0.91,0.40
HCG65c,13:29:53.17,-29:29:30.7,,14147,0.047189,0.000150,,0.63,0.49
HCG65d,13:29:52.12,-29:30:47.3,,13733,0.045810,0.000009,,0.33,0.23
HCG65e,13:29:55.43,-29:29:29.6,,14405,0.048050,0.000357,,0.15,0.15
HCG66a,13:38:38.25,+57:18:44.3,,20688,0.069008,0.000120,,0.45,0.39
HCG66b,13:38:40.38,+57:18:45.1,,21440,0.071515,0.000174,,0.49,0.27
HCG66c,13:38:35.11,+57:18:29.4,,20801,0.069385,0.000247,,0.32,0.16
HCG66d,13:38:34.42,+57:18:15.6,,20666,0.068935,0.000176,,0.17,0.12
HCG67a,13:49:11.40,-07:13:27.8,,7213,0.024060,0.000043,,1.96,1.81
HCG67b,13:48:59.46,-07:11:41.8,,7588,0.025311,0.000033,,2.1,0.4
HCG67c,13:49:12.28,-07:12:32.8,,7528,0.025111,0.000077,,0.7,0.3
HCG67d,13:49:09.80,-07:13:54.3,,7101,0.023686,0.000073,,0.55,0.33
HCG68a,13:53:26.69,+40:16:58.9,,2325,0.007755,0.000010,,2.2,1.1
HCG68b,13:53:26.70,+40:18:09.9,,2579,0.008603,0.000043,,1.4,1.3
HCG68c,13:53:21.63,+40:21:50.2,,2321,0.007742,0.000007,,3.2,2.3
HCG68d,13:53:45.56,+40:20:19.2,,2344,0.007819,0.000017,,1.12,0.72
HCG68e,13:54:00.41,+40:16:38.3,,2412,0.008046,0.000017,,1.24,0.49
HCG69a,13:55:29.76,+25:04:25.2,,8856,0.029540,0.000160,,1.58,0.37
HCG69b,13:55:34.39,+25:02:59.2,,8724,0.029100,0.000090,,0.59,0.38
HCG69c,13:55:32.57,+25:04:27.7,,8546,0.028506,0.000147,,0.45,0.37
HCG69d,13:55:28.38,+25:04:24.9,,8859,0.029552,0.000164,,0.11,0.09
HCG70d,14:04:09.85,+33:20:45.5,,18846,0.062863,0.000163,,0.48,0.40
HCG70e,14:04:05.87,+33:19:14.6,,19117,0.063767,0.000183,,0.4,0.4
HCG70f,14:04:04.32,+33:19:45.2,,19243,0.064188,0.000434,,0.26,0.21
HCG70g,14:04:00.12,+33:19:54.3,,19010,0.063411,0.000300,,0.24,0.21
HCG72a,14:47:53.39,+19:04:37.5,,12506,0.041716,0.000120,,0.5,0.1
