objectHCG,groupNumber,ra_deg,dec_deg,cz
"HCG84d",84,251.01,77.8565,16800
"HCG84e",84,251.112,77.8381,16950
"HCG85a",85,282.577,73.3514,11155
"HCG85b",85,282.61,73.3452,12122
"HCG85c",85,282.624,73.3576,11912
"HCG85d",85,282.65,73.3492,11900
"HCG86a",86,298.037,-30.8258,6013
"HCG86b",86,297.996,-30.8162,5863
"HCG86c",86,297.989,-30.8569,5317
"HCG86d",86,297.966,-30.8084,5923
"HCG87a",87,312.062,-19.8494,8443
"HCG87b",87,312.046,-19.8564,8738
"HCG87c",87,312.05,-19.8322,8914
"HCG87d",87,312.053,-19.8461,10200
"HCG88a",88,313.148,-5.71114,6033
"HCG88b",88,313.124,-5.74611,6192
"HCG88c",88,313.108,-5.77231,5956
"HCG88d",88,313.053,-5.79833,6041
"HCG89a",89,320.004,-3.92214,8808
"HCG89b",89,320.08,-3.89603,8884
"HCG89c",89,320.035,-3.91761,8872
"HCG89d",89,320.033,-3.90836,8857
"HCG90a",90,330.508,-31.8697,2603
"HCG90b",90,330.535,-31.9897,2511
"HCG90c",90,330.513,-31.9737,2497
"HCG90d",90,330.527,-31.993,2659
"HCG91a",91,332.282,-27.8095,6934
"HCG91b",91,332.318,-27.7303,7267
"HCG91c",91,332.308,-27.7822,7190
"HCG91d",91,332.285,-27.8004,7315
"HCG92b",92,338.993,33.9659,5774
"HCG92c",92,339.015,33.9757,6747
"HCG92d",92,338.986,33.9655,6630
"HCG92e",92,338.966,33.9449,6599
"HCG92f",92,339.085,33.985,5985
"HCG93a",93,348.817,18.9618,5072
"HCG93b",93,348.822,19.0417,4736
"HCG93c",93,348.764,18.9734,4772
"HCG93d",93,348.888,19.0482,5173
"HCG94a",94,349.306,18.7083,12045
"HCG94b",94,349.3,18.7013,12068
"HCG94c",94,349.334,18.7349,11919
"HCG94d",94,349.313,18.7119,13028
"HCG94e",94,349.314,18.7274,12250
"HCG94f",94,349.327,18.7396,13038
"HCG94g",94,349.333,18.7495,13200
"HCG95a",95,349.875,9.50822,11879
"HCG95c",95,349.88,9.50297,11562
"HCG95d",95,349.866,9.49436,12350
"HCG96a",96,351.986,8.77903,8671
"HCG96b",96,352.025,8.76858,8616
"HCG96c",96,351.995,8.78281,8852
"HCG96d",96,352.001,8.76733,8975
"HCG97a",97,356.846,-2.30067,6932
"HCG97b",97,356.908,-2.31667,6666
"HCG97c",97,356.849,-2.35125,6003
"HCG97d",97,356.829,-2.3135,6328
"HCG97e",97,356.833,-2.28067,6665
"HCG99a",99,0.158083,28.3846,8705
"HCG99b",99,0.195667,28.402,8764
"HCG99c",99,0.183333,28.4014,8157
"HCG99d",99,0.187875,28.3717,8643
"HCG99e",99,0.176708,28.369,9007
"HCG100a",100,0.333208,13.1112,5366
"HCG100b",100,0.3585,13.113,5256
"HCG100c",100,0.30575,13.1441,5461
"HCG100d",100,0.312375,13.1126,5590
